label,retained_point_group,feature,samples,mean,q10,median,q90,zero_fraction,maximum_fraction
0,N1,4Var(x)/span(x)^2,49126,0.0,0.0,0.0,0.0,1.0,0.0
0,N1,4Var(y)/span(y)^2,49126,0.0,0.0,0.0,0.0,1.0,0.0
0,N1,"4Cov(x,y)/(span(x)*span(y))",49126,0.0,0.0,0.0,0.0,1.0,0.0
0,N1,4Var(vr_compensated)/span(vr)^2,49126,0.0,0.0,0.0,0.0,1.0,0.0
0,N1,4Var(RCS)/span(RCS)^2,49126,0.0,0.0,0.0,0.0,1.0,0.0
0,N1,fraction_abs_vr_le_0.5_m_per_s,49126,0.2809103122582746,0.0,0.0,1.0,0.7190896877417253,0.2809103122582746
0,N1,2*(mean_RCS-min_RCS)/span_RCS-1,49126,0.0,0.0,0.0,0.0,1.0,0.0
0,N2,4Var(x)/span(x)^2,11212,0.994470210488762,1.0,1.0,1.0,0.005529789511237959,0.994470210488762
0,N2,4Var(y)/span(y)^2,11212,0.9948269711023903,1.0,1.0,1.0,0.005173028897609704,0.9948269711023903
0,N2,"4Cov(x,y)/(span(x)*span(y))",11212,-0.004102747056724938,-1.0,0.0,1.0,0.010702818408847663,0.4925972172672137
0,N2,4Var(vr_compensated)/span(vr)^2,11212,0.9976810560114163,1.0,1.0,1.0,0.00231894398858366,0.9976810560114163
0,N2,4Var(RCS)/span(RCS)^2,11212,0.9998216196931858,1.0,1.0,1.0,0.00017838030681412772,0.9998216196931858
0,N2,fraction_abs_vr_le_0.5_m_per_s,11212,0.33549894516842194,0.0,0.0,1.0,0.5115055297895112,0.18007491972886194
0,N2,2*(mean_RCS-min_RCS)/span_RCS-1,11212,0.0,0.0,0.0,0.0,1.0,0.0
0,N3to8,4Var(x)/span(x)^2,30400,0.590963789888106,0.4094488188976378,0.5905511811023622,0.7480314960629921,0.0,6.578947368421052e-05
0,N3to8,4Var(y)/span(y)^2,30400,0.5576243265644426,0.3937007874015748,0.5511811023622047,0.7165354330708661,0.0,0.0
0,N3to8,"4Cov(x,y)/(span(x)*span(y))",30400,0.015254869457107335,-0.5511811023622047,0.023622047244094488,0.5590551181102362,0.005789473684210527,0.0
0,N3to8,4Var(vr_compensated)/span(vr)^2,30400,0.520844643597182,0.3700787401574803,0.5196850393700787,0.6614173228346457,0.0,0.0
0,N3to8,4Var(RCS)/span(RCS)^2,30400,0.5274344695399917,0.3779527559055118,0.5275590551181102,0.6692913385826772,0.0,0.0
0,N3to8,fraction_abs_vr_le_0.5_m_per_s,30400,0.3198111790302528,0.0,0.25196850393700787,0.8031496062992126,0.24914473684210525,0.0705921052631579
0,N3to8,2*(mean_RCS-min_RCS)/span_RCS-1,30400,-0.056372513468711145,-0.3228346456692913,-0.06299212598425197,0.2204724409448819,0.013651315789473685,0.0
0,Nge9,4Var(x)/span(x)^2,161574,0.3412629536462608,0.2047244094488189,0.3228346456692913,0.49606299212598426,0.0,0.0
0,Nge9,4Var(y)/span(y)^2,161574,0.32264638937289064,0.1968503937007874,0.30708661417322836,0.4645669291338583,0.0,0.0
0,Nge9,"4Cov(x,y)/(span(x)*span(y))",161574,0.0016854372278068829,-0.2677165354330709,0.0,0.2755905511811024,0.01583175510911409,0.0
0,Nge9,4Var(vr_compensated)/span(vr)^2,161574,0.2740568203604131,0.1889763779527559,0.2677165354330709,0.3700787401574803,0.0,0.0
0,Nge9,4Var(RCS)/span(RCS)^2,161574,0.28713792826845436,0.2047244094488189,0.28346456692913385,0.3779527559055118,0.0,0.0
0,Nge9,fraction_abs_vr_le_0.5_m_per_s,161574,0.32512661612645444,0.07874015748031496,0.25196850393700787,0.7637795275590551,0.041590850012997144,0.019340983078960722
0,Nge9,2*(mean_RCS-min_RCS)/span_RCS-1,161574,-0.03457877812063198,-0.25196850393700787,-0.031496062992125984,0.18110236220472442,0.017874162922252343,0.0
1,N1,4Var(x)/span(x)^2,53219,0.0,0.0,0.0,0.0,1.0,0.0
1,N1,4Var(y)/span(y)^2,53219,0.0,0.0,0.0,0.0,1.0,0.0
1,N1,"4Cov(x,y)/(span(x)*span(y))",53219,0.0,0.0,0.0,0.0,1.0,0.0
1,N1,4Var(vr_compensated)/span(vr)^2,53219,0.0,0.0,0.0,0.0,1.0,0.0
1,N1,4Var(RCS)/span(RCS)^2,53219,0.0,0.0,0.0,0.0,1.0,0.0
1,N1,fraction_abs_vr_le_0.5_m_per_s,53219,0.04038031530092636,0.0,0.0,0.0,0.9596196846990737,0.04038031530092636
1,N1,2*(mean_RCS-min_RCS)/span_RCS-1,53219,0.0,0.0,0.0,0.0,1.0,0.0
1,N2,4Var(x)/span(x)^2,18301,0.9990710890115294,1.0,1.0,1.0,0.0009289109884705754,0.9990710890115294
1,N2,4Var(y)/span(y)^2,18301,0.9974864761488443,1.0,1.0,1.0,0.0025135238511556747,0.9974864761488443
1,N2,"4Cov(x,y)/(span(x)*span(y))",18301,0.02043604174635266,-1.0,1.0,1.0,0.00344243483962625,0.5084968034533632
1,N2,4Var(vr_compensated)/span(vr)^2,18301,0.9464510136058139,1.0,1.0,1.0,0.05354898639418611,0.9464510136058139
1,N2,4Var(RCS)/span(RCS)^2,18301,0.9998360745314464,1.0,1.0,1.0,0.00016392546855363094,0.9998360745314464
1,N2,fraction_abs_vr_le_0.5_m_per_s,18301,0.05329212680172806,0.0,0.0,0.0,0.930878094093219,0.037211081361674225
1,N2,2*(mean_RCS-min_RCS)/span_RCS-1,18301,0.0,0.0,0.0,0.0,1.0,0.0
1,N3to8,4Var(x)/span(x)^2,23256,0.5657478283480819,0.4015748031496063,0.5590551181102362,0.7322834645669292,0.0,0.0
1,N3to8,4Var(y)/span(y)^2,23256,0.5371672774649299,0.3779527559055118,0.5354330708661418,0.6929133858267716,0.0,4.299965600275198e-05
1,N3to8,"4Cov(x,y)/(span(x)*span(y))",23256,0.0023267215437079653,-0.5196850393700787,0.007874015748031496,0.5196850393700787,0.005589955280357757,0.0
1,N3to8,4Var(vr_compensated)/span(vr)^2,23256,0.6304860112300203,0.4251968503937008,0.6299212598425197,0.8818897637795275,0.0,0.0024509803921568627
1,N3to8,4Var(RCS)/span(RCS)^2,23256,0.5492830230586502,0.4094488188976378,0.5433070866141733,0.6929133858267716,0.0,0.0
1,N3to8,fraction_abs_vr_le_0.5_m_per_s,23256,0.06031598991302558,0.0,0.0,0.25196850393700787,0.8473082215342277,0.016898864809081527
1,N3to8,2*(mean_RCS-min_RCS)/span_RCS-1,23256,-0.05395678094417764,-0.2755905511811024,-0.06299212598425197,0.18110236220472442,0.01500687994496044,0.0
1,Nge9,4Var(x)/span(x)^2,127494,0.3378582336250747,0.2125984251968504,0.3228346456692913,0.48031496062992124,0.0,0.0
1,Nge9,4Var(y)/span(y)^2,127494,0.2907785439710055,0.18110236220472442,0.2755905511811024,0.4094488188976378,0.0,0.0
1,Nge9,"4Cov(x,y)/(span(x)*span(y))",127494,-0.0005953653647310746,-0.2125984251968504,0.0,0.2125984251968504,0.019898975638069243,0.0
